,城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,行程内交通时长,目的地,编号
53,广州,1665,10.6万,1人, , , ,共4个,共1次, , ,210638123
54,广州,3074,123,3.1万人,104,100, , , , , ,210661986
55,广州,2302,2.2万,1.2万人, , , ,共9个, ,共9次,三亚,210048647
56,广州,1769,7949, , , , , ,4晚高档型,共4次,三亚,210598623
57,广州,3152,13, , , , , , ,共2次,三亚,210982172
58,广州,3050,13.0万, , , , , , ,约3小时35分钟（行程内）,三亚,210189398
59,广州,3754,5.5万, ,38,100,汽车/汽车,共3个,4晚豪华型,共2次,三亚,210052891
60,广州,3914,4.4万,9575人, , , ,共6个,"4晚高档型,1晚豪华型",约7小时5分钟（行程内）,三亚,210055598
61,广州,2842,6.0万,1.3万人,170,97, ,共6个,5晚豪华型,约4小时45分钟（行程内）,三亚,210127725
62,广州,2219,2.3万,1814人, , ,飞机/飞机,共7个,6晚豪华型, , ,210598599
63,广州,4017,4.2万,8792人,219,90, ,共6个,6晚豪华型,共2次,三亚,210303778
64,广州,3508,1.7万,3511人, , , ,共9个,5晚豪华型,约4小时35分钟（行程内）,三亚,210056353
65,广州,2779,1.1万,2434人,17,96,飞机/飞机,共9个,4晚豪华型, , ,210049205
66,广州,2238,3.0万,5161人, , ,飞机/飞机, , ,共2次,三亚,210112469
67,广州,3325,2.8万,4888人,104,100, ,共8个,7晚豪华型, , ,210098785
68,广州,3553,18,2人, , , ,共7个,5晚豪华型, , ,210734373
69,广州,3487,3.4万,7494人,45,100, , , ,约4小时35分钟（行程内）,三亚,210056272
70,广州,3045,1.4万,2379人, , , ,共6个,5晚豪华型, , ,210098782
71,广州,2910,4411,992人, , ,飞机/飞机, , , , ,210507639
72,广州,4699,1.3万,838人, , , , , , , ,210655796
73,广州,3830,19,4人,38,100, ,共7个,4晚豪华型, , ,210986386
74,广州,2985,2.7万,4671人, , ,飞机/飞机, , ,约4小时45分钟（行程内）,三亚,210612129
75,广州,2752,3.0万,6758人, , ,飞机/飞机, , , , ,210621441
76,广州,3240,908,174人,38139,95,飞机/飞机, , ,共5次,三亚,210439526
77,广州,2325,6598,3人, , ,飞机/飞机, , , , ,300565697
78,广州,1869,2.6万,1656人,181696,96,汽车/汽车,共9个,5晚高档型, , ,210051243
79,广州,4519,569,4665人,52085,97, , , ,约4小时35分钟（行程内）,三亚,210612145
80,广州,5276,2.6万,107人, , , ,共8个,7晚豪华型, , ,210387064
81,广州,4742,665,4658人,40929,97, , , ,共4次,三亚,210612116
82,广州,3445,3876,137人,679,97, ,共7个,4晚豪华型, , ,210505391
83,广州,2947,4574,629人, , ,汽车/汽车, , , , ,210634939
84,广州,2457,132,957人,24120,97, , , ,共2次,三亚,210687078
85,广州,2504,925,36人,51475,96, ,共6个,5晚豪华型,共2次,三亚,210674441
86,广州,5965,303,54人, , , , , , , ,210600274
87,广州,3782,96,10人,7949,96, , , , , ,300554459
88,广州, , ,77人, , ,汽车/汽车,共6个,6晚豪华型,共1个购物点，约1小时30分钟,三亚,210051528
89,广州, , ,18人,106496,94, ,共6个,3晚豪华型,约4小时35分钟（行程内）,三亚,210592033
90,广州,1462,8156,1057人,19,100, , , , , ,210598474
91,广州,2939,50,18人, , , , , ,共2次,三亚,210791046
92,广州,3581,47,14人, , ,飞机/飞机, , , , ,210810022
93,广州,2486,5341,470人,6598,94, , , ,共3次,三亚,210599057
94,广州,2180,7231,1135人, , , , , , , ,210598860
95,广州,3183,2.3万,1399人,26475,96, ,共7个,4晚豪华型, , ,210628759
96,广州,2445,3194,246人, , , , , , , ,210598913
97,广州,3489,62,12人,26498,96, ,共8个,5晚豪华型,共3次,三亚,210091850
98,广州,3127,50,6人, , , , , , , ,210674447
99,广州,201,334,32人,569,95,飞机/飞机, , , , ,210944007
100,广州,2735,4411,992人,925,96,飞机/飞机, , , , ,210557792
101,广州,3058,4750,573人, , ,飞机/飞机,共7个,5晚豪华型,共3次,三亚,210599167
102,广州,2979,1.2万,796人, , ,飞机/飞机, , , , ,210656063
103,广州,3095,4411,992人,3876,91,飞机/飞机, , , , ,210510906
104,广州,1792,2242,200人, , ,飞机/飞机, , , , ,210600536
105,广州,3441,15,6人,132,100,飞机/飞机,共8个,5晚豪华型, , ,210790646
106,广州,3273,56,8人,303,96, , , ,共1次,三亚,210895310
107,广州,2474,6409,15人,665,97, , , ,共3次,三亚,300344837
108,广州,3044,2156,1018人,96,98,飞机/飞机, , , , ,210594476
109,广州,2445,9235,225人,4574,96,飞机/飞机, , , , ,210600042
110,广州,1610,2391,2242人,44062,96,飞机/飞机,共8个,3晚豪华型, , ,210054077
111,广州,1795,2346,249人,59586,97,飞机/飞机,共6个,4晚豪华型, , ,210598825
112,广州,2574,2399,240人,22567,95, , , , , ,210600242
113,广州,3300,6.7万,246人, , , , , , , ,210600610
114,广州,2580,2930,4175人,42494,97,飞机/飞机, , , , ,210740434
115,广州,2036,2642,675人,16730,97, , , , , ,210627459
116,广州,2617,1395,279人,29715,95, , , , , ,210600682
117,广州,1927,3146,144人, , , , , , , ,210598759
118,广州,1495,1461,396人,11467,96, , , , , ,210599133
119,广州, , ,231人,28178,96,飞机/飞机, , , , ,210600581
120,广州,3287,3315,355人, , , , , , , ,210599006
121,广州,3296,15,5人, , , ,共7个,4晚豪华型,共5次,三亚,210981278
122,广州,3093,22,2人,303,96,飞机/飞机, , , , ,210797154
123,广州,3676,18,2人,96,98, , , , , ,210992481
124,广州,3292,4411,992人,8156,93, ,共5个,"1晚高档型,3晚豪华型", , ,210545474
125,广州,4436,6290,270人, , ,飞机/飞机, , , , ,210652455
126,广州,2237,2383,206人,50,100,飞机/飞机,共3个,4晚豪华型, , ,210598701
127,广州,2561,1356,114人,47,98,飞机/飞机, , , , ,210600200
128,广州,194,840,125人,5341,95,飞机/飞机,共16个,共3次, , ,210588553
129,广州,1509,15,1人, , ,飞机/飞机, , , , ,210822998
130,广州,4018,6,2人,7231,97,飞机/飞机, , , , ,320000261
131,广州,319,473,55人, , ,飞机/飞机, , , , ,210584801
132,广州,2048,727,49人,3194,95, , , ,共7次,三亚,210612022
133,广州,3022,4411,992人, , , , , , , ,210576728
134,广州,3993,1086,211人,22799,94,飞机/飞机, , , , ,210594604
135,广州,3211,831,57人, , ,飞机/飞机, , , , ,210600453
136,广州,3807,23,3人,334,98,飞机/飞机, , ,共3次,三亚,210936176
137,广州,2970,7,1人, , , , , ,共2次,三亚,210825137
138,广州,3951,6,3人,50,100, ,共3个,5晚豪华型, , ,210988014
139,广州,3906,6,1人,62,94,飞机/飞机, , ,共4次,三亚,320000938
140,广州,222,284,42人,4750,96,飞机/飞机, , , , ,210584804
141,广州,362,232,38人, , , , , , , ,210599860
142,广州,392,185,33人,4411,95, ,共4个,4晚豪华型,共4次,三亚,210602738
143,广州,304,280,45人, , , ,共8个,6晚豪华型, , ,210590859
144,广州,2765,3.0万,5184人,11868,95, , , ,约30分钟（行程内）,三亚,210675077
145,广州,2849,2747,703人, , ,飞机/飞机,共8个,6晚豪华型,约1小时20分钟（行程内）,三亚,210054206
146,广州,1703,1625,275人,4411,95,飞机/飞机, , , , ,210599153
147,广州,2235,615,54人, , , ,共8个,6晚豪华型, , ,210600238
148,广州,2429,358,22人, , , , , , , ,210600866
149,广州,3317,4,1人,15,100,飞机/飞机, , ,共2次,三亚,320003379
150,广州,3791,4,1人,5341,95, , , ,共2次,三亚,210988808
151,广州,3242,2,1人, , , ,共6个,"3晚舒适型,2晚高档型", , ,210985237
152,广州,1155,141,12人,47,98, , , , , ,210616783
153,广州,199,187,31人,7231,97, , , , , ,210606002
154,广州,297,143,18人, , ,飞机/飞机,共7个,6晚豪华型, , ,210592326
155,广州,229,191,16人,22799,94,飞机/飞机,共7个,"2晚舒适型,2晚高档型", , ,210588559
156,广州,3110,841,65人, , , , , , , ,210600557
157,广州,3493,400,23人,3194,95, ,共8个,4晚豪华型, , ,210600905
158,广州,1479,607,93人, , ,飞机/飞机, , , , ,210600172
159,广州,1877,353,38人,50,100,飞机/飞机, , , , ,210600410
160,广州,365,73,14人,334,98, , , , , ,210606860
161,广州,135,1396,140人, , , , , , , ,210661525
162,广州,1685,1052,361人,4750,96, , , , , ,210600532
163,广州,3276,195,40人, , , , , , , ,210600957
164,广州,3225,444,55人,4411,95, , , , , ,210600771
165,广州,1818,188,17人, , , , , , , ,210601111
166,广州,2188,187,14人,62,94, , , , , ,210601000
167,广州,2295,8404,1902人,2242,93, , , ,共2个购物点，约3小时,海南,210052161
168,广州,2875,120,14人, , ,汽车/汽车, , , , ,210557790
169,广州,2440,153,14人,4411,95, , , , , ,210600665
170,广州,1661,136,19人, , , , , , , ,210600336
171,广州,1930,399,16人,11868,95,飞机/飞机, , , , ,210713967
172,广州,517,67,8人, , ,飞机/飞机, , , , ,210589062
173,广州,1695,94,5人, , , , , , , ,210678499
174,广州,134,329,46人,56,89, ,共7个,"1晚高档型,3晚豪华型",约1小时20分钟（行程内）,三亚,210867861
175,广州,3109,1138,201人,15,100,飞机/飞机, , , , ,210488461
176,广州,2819,430,73人,6409,95, , , ,共2个购物点，约3小时30分钟,海南,210488463
177,广州,1648,55,7人, , , , , , , ,210658552
178,广州,1654,134,7人,2156,95, , , ,共2个购物点，约3小时,海南,210630415
179,广州,1908,69,13人, , , , , , , ,210658653
180,广州,105,204,24人, , , ,共6个,4晚豪华型, , ,210785778
181,广州,263,227,25人,6290,96, , , , , ,210924606
182,广州,3024,458,71人, , ,飞机/飞机, , , , ,210564489
183,广州,2720,1114,196人,840,94, ,共7个,"1晚舒适型,4晚高档型,1晚经济型",约30分钟（行程内）,海南,210571343
184,广州,1897,30,3人, , , , , , , ,210600547
185,广州,4065,18,1人,1356,97, , , , , ,210986434
186,广州,2257,44,4人, , , , , , , ,210739460
187,广州,1460,30,64人,473,99,飞机/飞机, , ,约30分钟（行程内）,海南,210822999
188,广州,3184,409,16人, , , ,共7个,4晚经济型, , ,210667946
189,广州,135,173,10人,6,100, , , , , ,210675662
190,广州,199,96,1人,15,100,飞机/飞机, , , , ,210710587
191,广州,2967,17,10人, , , ,共7个,3晚豪华型, , ,210630220
192,广州,298,72,6人,831,92, , , , , ,210920299
193,广州,199,57,1人, , , ,共7个,5晚豪华型, , ,210983471
194,广州,2970,3,114人,4411,95, , , , , ,210985270
195,广州,228,732,7人, , , , , , , ,210588120
196,广州,199,68,4人,1086,97, , , , , ,210864765
197,广州,2627,35,4人, , ,飞机/飞机,共7个,6晚豪华型, , ,210976828
198,广州,1938,17,2人,727,94,汽车/汽车, , ,共1次,三亚,210670225
199,广州,2787,9,2人, , , , , ,共3个购物点，约4小时10分钟,三亚,210828699
200,广州,2218,5,1人,6,93, , , , , ,210929069
201,广州,2380,11,1人,23,89, , , ,共2个购物点，约3小时,三亚,210779362
202,广州,2218,9,1人,7,100, , , , , ,210929063
203,广州,1723,8,1人,280,94,飞机/飞机, , , , ,210677836
204,广州,2345,7,1人, , , , , , , ,210554237
205,广州,3928,6,1人,232,97, , , ,共2个购物点，约3小时,海南,210766111
206,广州,2058,17,42人, , ,飞机/飞机, , , , ,210664720
207,广州,177,309,3人,287,97, , , , , ,210588248
208,广州,211,23,2人, , , ,共3个,2晚豪华型,共1个购物点，约1小时30分钟,三亚,210976937
209,广州,1868,21, ,185,99,飞机/飞机,共9个,5晚经济型, , ,210663207
210,广州,2552,5,1人,727,94, , , ,共2个购物点，约3小时30分钟,三亚,210670264
211,广州,3587,5,1人, , , , , ,共2个购物点，约3小时30分钟,三亚,210779499
212,广州,5099,4,1人,473,99, , , , , ,210982718
213,广州,6921,26,2人, , , , , , , ,210681712
214,广州,141,667,69人,6,100, , , , , ,210588216
215,广州,392,180,39人,4411,95, , , , , ,210604203
216,广州,148,315,55人, , ,飞机/飞机,共8个,5晚豪华型, , ,210589713
217,广州,240,133,22人,831,92,飞机/飞机, , , , ,210588114
218,广州,146,264,31人, , , , , , , ,210588849
219,广州,308,10,3人,1086,97, , , , , ,210988592
220,广州,2775,18.2万,4.2万人, , ,飞机/飞机, , ,共2次,三亚,210050977
221,广州,3069,12,5人,7,100,飞机/飞机, , , , ,210977476
222,广州,1868,3,1人,6,100, ,共10个,"1晚经济型,4晚豪华型", , ,210670228
223,广州,2471,2259,130人,287,97, ,共7个,6晚豪华型,共2个购物点，约3小时30分钟,海南,210690121
224,广州,1210,423,22人,23, , ,共3个,4晚豪华型, , ,210965018
225,广州,295,179,27人, ,89, , , , , ,210588210
226,广州,217,114,25人,232,97, , , , , ,210590850
227,广州,353,114,16人, , , , , , , ,210597362
228,广州,444,89,10人,6,93, , , , , ,210634545
229,广州,1767,11,2人,280,94, , , , , ,210973684
230,广州,523,7,2人, , ,汽车/汽车, , , , ,210987120
231,广州,438,720,133人,185,99, , , , , ,210442138
232,广州,429,87,6人, , , , , , , ,210594180
233,广州,356,56,10人,29987,95, ,共1个,4晚豪华型, , ,210609493
234,广州,95,32,5人,2747,95, ,共7个,共2次, , ,210679699
235,广州,1642,5.3万,1.1万人,615,95,汽车/汽车, , , , ,210051778
236,广州,1150,613,79人, , , , , ,共3次,三亚,210961126
237,广州,1104,628,54人,1625,94, ,共10个,4晚高档型, , ,210600949
238,广州,287,60,6人, , ,飞机/飞机, , , , ,210612723
239,广州,331,48,6人,358,94,飞机/飞机, , , , ,210609494
240,广州,365,59,5人, , ,飞机/飞机, , , , ,210576406
241,广州,220,28,7人,1052,95, , , , , ,210588929
242,广州,222,31,6人, , , , , , , ,210588862
243,广州,362,47,4人,195,93, , , , , ,210596277
244,广州,226,70,10人, , , , , , , ,210660790
245,广州,3349,5,2人,153,94,飞机/飞机, , , , ,210976626
246,广州,772,436,38人, , , , , , , ,210767831
247,广州,700,68,9人,67,100, , , ,共2次，约14小时,三亚,210981701
248,广州,880,283,20人, , ,飞机/飞机, , , , ,210634505
249,广州,548,31,3人,120,95,飞机/飞机, , , , ,210607153
250,广州,237,35,2人, , , , , , , ,210621831
251,广州,160,34,2人,136,95, , , , , ,210739727
252,广州,174,33,2人, , ,飞机/飞机, , , , ,210607179
253,广州,1612,121,11人,8404,91, , , , , ,210600230
254,广州,660,404,36人,399,94, , , , , ,210765998
255,广州,1176,235,19人, , ,飞机/飞机, , , , ,210964170
256,广州,3810,114,29人,430,97, , , , , ,210769009
257,广州,1091,158,22人,69, , , , , , ,210770788
258,广州,2492,311,24人, ,87, , , , , ,210960918
259,广州,836,191,15人,134,88, , , , , ,210602622
260,广州,2053,251,12人, , , , , , , ,210769206
261,广州,715,484,25人,329,98, ,共3个,4晚豪华型, , ,210967547
262,广州,1390,38,2人, , ,汽车/汽车, , , , ,210622733
263,广州,415,21,2人,1138,95, , , , , ,210606264
264,广州,164,20,2人,55,94, , , , , ,210580522
265,广州,243,11,3人,94,100, , , , , ,210599684
266,广州,275,14,2人, , , , , , , ,210606343
267,广州,1221,183,16人,4,100,飞机/飞机, , , , ,210606698
268,广州,1004,474,21人,2,100, , , , , ,210600830
269,广州,5999,137,19人, , , , , , , ,210564738
270,广州,2222,134,10人,8404,91,飞机/飞机, , , , ,210766454
271,广州,335,12,2人,120,95, , , , , ,210588215
272,广州,358,27,1人, , , , , , , ,210593025
273,广州,320,10,2人,136,95, , , , , ,210592542
274,广州,435,10,2人, , , , , , , ,210588921
275,广州,460,17,4人,399,94, , , , , ,210591248
276,广州,235,9,2人, , , , , , , ,210611573
277,广州,588,26,3人,153,94,飞机/飞机, , , , ,210588260
278,广州,168,15,1人, , ,飞机/飞机, , , , ,210599162
279,广州,170,15,1人,67,100,飞机/飞机, , ,共1次,三亚,210586027
280,广州,168,28,6人, , , , , , , ,210588562
281,广州,340,12,1人,329,98, , , , , ,210607184
282,广州,2146,1.1万,2409人, , , , , ,共5次,三亚,210075581
283,广州,1510,129,6人,1138,95, , , , , ,210807972
284,广州,1454,142,10人,430,97,汽车/汽车, , , , ,210963473
285,广州,2099,128,6人, , , , , , , ,210755482
286,广州,1789,76,13人,55,94, , , , , ,210766109
287,广州,1166,130,4人,94,100,汽车/汽车, , , , ,210748286
288,广州,1104,107,4人, , , , , , , ,210754334
289,广州,228,6,1人,69,87, , , , , ,210961704
290,广州,415,6,1人,134,88, , , , , ,210586040
291,广州,255,27,5人, , , , , , , ,210587867
292,广州,263,5,1人,206,98,汽车/汽车, , , , ,210584805
293,广州,505,4,1人, , , ,共2个,约2小时30分钟（行程内）, , ,210748419
294,广州,270,32,7人,227,96, , , , , ,210875998
295,广州,1608,87,3人, , , , , , , ,210961125
296,广州,2051,117,5人,458,96, ,共3个,4晚豪华型, , ,210963074
297,广州,2156,60,1人,1114,95, , , , , ,210766713
298,广州,7033,8,6人, , , , , , , ,210970629
299,广州,589,55, , , , , , , , ,210383832
300,广州,1221,126,3人,9,100,飞机/飞机,共4个, , , ,210769002
301,广州,627,6,1人, , , , ,5晚豪华型, , ,210770932
302,广州,1298,67,3人,6,100, ,共6个,5晚豪华型, , ,210773718
303,广州,924,58,3人, , ,飞机/飞机,共5个, , , ,210772682
304,广州,258,22,2人,17,94, , , , , ,210604212
305,广州,301,18,2人,7,100, , , , , ,210585466
306,广州,335,19,2人, , ,汽车/汽车, , , , ,210588557
307,广州,298,15,2人,309,96, , ,3晚豪华型, , ,210607923
308,广州,298,2,1人, , , ,共9个, , , ,210588549
309,广州,1104,119,13人,8,100,飞机/飞机, , , , ,210772322
310,广州,382,48,3人, , ,飞机/飞机, , , , ,210725998
311,广州,1651,75,5人,23,100, , , , , ,210606281
312,广州,1173,59,2人, , , , , , , ,210971496
313,广州,660,32,3人,21,87,飞机/飞机, , , , ,210767680
314,广州,920,216,39人,206,98,飞机/飞机, , , , ,210768516
315,广州,174,76,17人, , , , , , , ,210502864
316,广州,583,22,3人,227,96, , , ,共5次,三亚,210773562
317,广州,1532,316,79人, , ,汽车/汽车, , , , ,210392525
318,广州,2636,559,142人,1114,95, , , ,共2次,三亚,210504077
319,广州,2154,559,142人, , , , , ,共9次,三亚,210504078
320,广州,3758,12,15人,458,96, , , , , ,210982174
321,广州,469,128,1人, , , , , , , ,210374333
322,广州,7150,32,2人,44,100,汽车/汽车, , , , ,210765642
323,广州,3960,12,8人, , , , , , , ,210773833
324,广州,1012,31,2人,30,95, , , , , ,210600514
325,广州,935,8,2人, , ,汽车/汽车, , , , ,210771757
326,广州,990,8,3人,409,97, , , , , ,210777461
327,广州,722,18,2人,18,100, , , , , ,210766627
328,广州,556,15,7人, , , , , , , ,210383923
329,广州,822,60, ,173,92, ,共4个, , , ,210770752
330,广州,251,24,5人, , , , , , , ,210726011
331,广州,3499,5,1人,309,96, , , , , ,320004379
332,广州,147,4,2人, , ,汽车/汽车, , , , ,210971372
333,广州,3839,2,2人,21,87, , , , , ,320008159
334,广州,4272,27,1人,23,100, , , , , ,320008235
335,广州,237,40,1人, , ,汽车/汽车, , , , ,210977600
336,广州,605,2,1人,5,100, , , , , ,210766067
337,广州,1417,2,1人,5,100, , , , , ,210403290
338,广州,2398,2,34人,667,86,飞机/飞机, , , , ,210145489
339,广州,770,6, , , ,飞机/飞机, , , , ,210971040
340,广州,3694,206, ,4,100, , , , , ,210606927
341,广州,4620, , , , , , , , , ,210688119
342,广州,3633, , ,180,97,飞机/飞机, , , , ,320000932
343,广州,4149, , , , , , , , , ,210994238
344,广州,3380, , ,26,84, , , , , ,210996310
345,广州,3258, , , , ,飞机/飞机, , , , ,210988812
346,广州,3581, , ,315,91, , , , , ,210996327
347,广州,3634, , , , , , ,约2小时（行程内）, , ,210988802
348,广州,6522, , ,133,100,汽车/汽车, , , , ,320000898
349,广州,3826, , , , , , , , , ,320004049
350,广州,4038, , ,10,100, ,共2个, , , ,320005552
351,广州,3472, , , , ,汽车/汽车, , , , ,320000739
352,广州,3805, , ,181696,96, , , , , ,320005553
353,广州,3325, , , , , ,共1个, , , ,210995592
354,广州,4155, , ,264,92,飞机/飞机, , , , ,210997646
355,广州,2984, , , , ,飞机/飞机, , , , ,320000516
356,广州,2985, , ,12,96, , , , , ,320003868
357,广州,3042, , ,3,94, , , , , ,210995920
358,广州,1872, , ,423,94, , , , , ,320007827
359,广州,2253, , , , , , , , , ,320001266
360,广州,1667,1.1万,3585人,3979,98, ,共14个,约5小时（行程内）,共1次,桂林,210623641
361,广州,1767,5.0万,1.3万人, , , ,共14个,约5小时（行程内）,共3次,桂林,210054020
362,广州,2399,2044,668人,781,87,高铁二等座/高铁二等座, , ,共3次,桂林,210757269
363,广州,1092,409,32人, , , ,共14个,约5小时（行程内）, , ,210569228
364,广州,1196,1449,433人,3513,98, ,共13个,3晚豪华型, , ,210570193
365,广州,1098,2859,809人, , ,动车组/动车组,共17个,4晚豪华型, , ,210366717
366,广州,1307,3681,1059人, , ,汽车/汽车, , ,共2次,桂林,210682206
367,广州,2909,788,180人,2,100, , , ,共1次,崇左,210059997
368,广州,1109,2.2万,6267人,523,95, , , , , ,210484451
369,广州,1082,3131,869人, , ,自行安排/自行安排,共12个,"2晚高档型,1晚五星级",共1次，约1小时,桂林,210074861
370,广州,2966,7621,1813人,179,96, ,共12个,约4小时30分钟（行程内）,共7次,桂林,210117588
371,广州,1260,4864,1353人,15861,98, ,共9个,共1次,共5次，约1小时42分钟,桂林,210347518
372,广州,616,2.2万,6374人,11185,99, , , , , ,210484478
373,广州,2599,93,24人, , , ,共15个,3晚高档型,共1次,南宁,210628131
374,广州,929,1227,380人,10957,99,自行安排/自行安排,共9个,约9小时11分钟（行程内）, , ,210484418
375,广州,688,2.2万,6267人,50224,97, ,共12个,2晚高档型, , ,210484472
376,广州,388,802,236人,2044,99, ,共7个, , , ,210638093
377,广州,1476,11,1人,409,95, , ,约10小时45分钟（行程内）, , ,210984945
378,广州,1019,381,102人, , , ,共16个,2晚高档型,共4次,桂林,210055257
379,广州,613,3620,1052人,2859,98,动车组/动车组, , , , ,210732116
380,广州,2450,3979,1070人, , ,自行安排/自行安排, , , , ,210543677
381,广州,983,781,74人,1449,98, ,共9个,1晚高档型, , ,210217625
382,广州,605,3513,1014人, , , , , , , ,210732123
383,广州,1776,2,1人,3681,98,自行安排/自行安排, , ,共2次,崇左,210936638
384,广州,1394,2,56人,788,95,自行安排/自行安排,共9个,约4小时（行程内）, , ,210847909
385,广州,163,523,3665人,7621,97,飞机/飞机, , , , ,210445265
386,广州,1429,1.1万,4814人, , , , , ,共1次,桂林,210680094
387,广州,1368,1.6万,27人,21892,98, , , , , ,210053826
388,广州,178,100,18人,4864,97,火车/火车, , ,共1次,桂林,300231420
389,广州,999,179, ,3131,97,火车/火车,共11个,"2晚高档型,2晚经济型",共1个购物点，约2小时,桂林,210990441
390,广州,981,59,5人,163,92,动车组/动车组,共6个,共2次,共1次，约1小时,崇左,210456878
391,广州,1854,1,27人, , , , , , , ,210947610
392,广州,1110,163,267人,13,100, , , , , ,210668328
393,广州,853,1394,4人, , ,动车组/动车组,共12个,"2晚高档型,1晚五星级",共2次，约2小时40分钟,桂林,210523812
394,广州,1929,13,17人, , ,汽车/汽车,共16个,"1晚高档型,1晚经济型,2晚豪华型", , ,210869987
395,广州,220,133,14人,1394,91, ,共6个,3晚豪华型, , ,300220716
396,广州,253,68,2人, , , ,共12个,"1晚经济型,2晚豪华型", , ,210437620
397,广州,448,8,4人, , , ,共10个,4晚高档型, , ,300221190
398,广州,750,40,3人,68,100, ,共12个,约14小时30分钟（行程内）, , ,300282119
399,广州,94,3,1429人, , , ,共2个,约18小时10分钟（行程内）, , ,210976587
400,广州,1200,7,4799人, , , , , ,共2次,北海,210961735
401,广州,3699,3,122人,7,100,自行安排/自行安排, , , , ,210991443
402,广州,869,5060,10人, , , ,共8个,"1晚高档型,1晚经济型",共1次,桂林,210072909
